Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Interpretation,,2,8.5,8,7.5,7.75,9.25,7.5,8,8.5,7.75,8
Total,,,,,,,,,,,,80
Deduction,,,,,,,,,,,,0
Program total,,89.05 + 80.00 - 0.00 = 169.05,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2.14,2,2,2,1,3,2,2,3,2,12.44
2S,1.3,0,0,0,-1,0,0,0,0,0,0,1.3
3Fe,5.3,-0.4,0,-1,0,-1,0,-1,-1,0,-1,4.9
FCCoSp4,3.5,0.71,1,2,1,1,2,2,1,1,2,4.21
StSq3,3.3,0.79,1,1,1,1,2,2,2,2,2,4.09
3A+2T,10.78,-0.14,0,-1,0,-1,1,0,0,0,0,10.64
3A+2T+2T,12.21,0.57,1,2,0,0,1,0,0,1,1,12.78
3Lo,5.61,0.4,1,1,0,0,1,1,0,1,0,6.01
3Lz+2T,8.03,0.6,1,1,0,0,1,1,1,2,1,8.63
1Lz,0.66,-0.04,0,-1,-1,0,0,0,-1,0,-1,0.62
ChSq1,2,1.4,1,2,2,0,2,2,2,3,3,3.4
CCoSp4,3.5,0.57,1,1,1,0,1,2,1,1,2,4.07
FCSSp4,3,0.86,1,2,1,0,2,2,2,2,2,3.86
Total,69.49,7.46,,,,,,,,,,76.95
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8,8.5,8.5,8.25,8.25,8.5,8.75,8.5,8.39
Transition/Linking Footwork,,2,8,7.25,7.75,8,8.25,8.5,8,8.5,8,8.07
Performance/Execution,,2,8,7.5,7.5,8.5,8,8.25,7.5,8.75,8.25,8
Choreography/Composition,,2,8,7.5,7.75,8.75,8.5,8.25,8.25,9.25,8.5,8.29
Interpretation,,2,8,7.25,8,8.5,8.25,8.25,7.75,9,8.25,8.14
Total,,,,,,,,,,,,81.78
Deduction,,,,,,,,,,,,0
Program total,,76.95 + 81.78 - 0.00 = 158.73,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4T,10.3,0,0,0,1,0,-2,0,0,10.3,,
4S,10.5,-1.8,-2,-2,-2,-1,-2,-1,-2,8.7,,
3Fe,5.3,0.28,1,0,1,0,0,-1,1,5.58,,
FCCoSp4,3.5,1.1,2,1,3,2,2,2,3,4.6,,
StSq3,3.3,0.9,1,1,3,2,2,2,2,4.2,,
3A+3T,13.86,2.2,1,2,2,2,2,3,3,16.06,,
3A+2T,10.78,2,2,1,3,3,1,2,2,12.78,,
3Lo,5.61,1.12,0,1,2,1,2,2,2,6.73,,
3Lz+2T+2T,9.46,0.7,0,1,1,1,1,1,1,10.16,,
3Lz,6.6,0.98,1,-1,2,2,1,2,1,7.58,,
ChSq1,2,1.26,1,1,3,2,2,2,2,3.26,,
CCoSp3,3,0.9,2,1,2,2,2,1,2,3.9,,
FCSSp4,3,1,1,2,2,2,2,2,2,4,,
Total,87.21,10.64,,,,,,,,97.85,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,9.25,8.75,9,9.5,9,9.25,9,9.1,,
Transition/Linking Footwork/Movement,,2,8.75,8.5,8.75,9.25,8.5,9,8.5,8.7,,
Performance/Execution,,2,8.75,8.5,9.5,9.5,8.75,9,8.75,8.95,,
Choreography/Composition,,2,9,9,9.25,9.5,8.75,9.25,9,9.1,,
Interpretation,,2,8.75,9,9,9.25,8.75,9.25,9,9,,
Total,,,,,,,,,,89.7,,
Deduction,,,,,,,,,,0,,
Program total,,97.85 + 89.70 - 0.00 = 187.55,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2.71,3,3,2,3,3,2,3,2,3,13.01
2S,1.3,0.23,2,2,2,1,0,1,1,0,1,1.53
3Fe,5.3,-0.2,0,-1,1,0,0,-1,-1,0,0,5.1
FCCoSp4,3.5,0.79,1,1,2,1,2,2,2,1,2,4.29
StSq3,3.3,0.71,2,2,1,2,2,1,1,1,1,4.01
3A+3T,13.86,2,2,2,2,2,2,2,2,2,2,15.86
3A+2T,10.78,1.86,2,2,2,3,2,1,1,2,2,12.64
3Lo,5.61,0.9,1,2,2,2,1,1,1,0,1,6.51
3Lz+2T+2T,9.46,0.5,1,2,1,2,0,0,0,0,1,9.96
3Lz,6.6,1.3,2,3,2,3,1,1,2,1,2,7.9
ChSq1,2,1,2,2,3,1,1,1,2,1,1,3
CCoSp4,3.5,0.79,1,2,2,2,1,1,2,1,2,4.29
FCSSp4,3,0.86,1,2,2,3,1,2,2,1,2,3.86
Total,78.51,13.45,,,,,,,,,,91.96
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,9,9,8,8.75,8.5,8.25,8.25,8.5,9.25,8.61
Transition/Linking Footwork,,2,8.75,8.5,8,8.5,7.75,7.75,8,8.5,9,8.29
Performance/Execution,,2,9.25,8.75,7.75,9.25,8,8,8.25,8.75,9.25,8.61
Choreography/Composition,,2,9,8.75,8.25,9,8,8.25,8.25,8.75,9.25,8.61
Interpretation,,2,8.75,8.75,8,9,8.25,8,8,8.5,9,8.46
Total,,,,,,,,,,,,85.16
Deduction,,,,,,,,,,,,0
Program total,,91.96 + 85.16 - 0.00 = 177.12,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,1.57,2,2,1,0,1,2,2,2,1,11.87
4S,10.5,-1.71,-2,-2,-1,-2,-1,-2,-1,-2,-2,8.79
3F,5.3,1.3,2,2,2,0,2,2,2,2,1,6.6
FCCoSp4,3.5,0.71,2,2,-1,2,1,1,1,2,1,4.21
StSq3,3.3,0.71,2,1,1,1,2,2,1,1,2,4.01
3A+3T,13.86,2,2,2,2,3,2,2,2,2,2,15.86
3A+1T,9.79,1,1,1,1,1,1,0,1,2,1,10.79
3Lo,5.61,0.7,1,1,1,0,1,1,1,2,1,6.31
3Lz+2T,8.03,-0.1,0,0,-1,-1,0,0,0,1,0,7.93
3Lz,6.6,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,4.5
ChSq1,2,0.9,2,1,1,2,2,1,1,1,1,2.9
CCoSp1,2,-0.77,-3,-3,-2,-3,-3,-2,-3,-2,-2,1.23
FCSSp4,3,0.93,2,2,3,2,2,2,1,2,1,3.93
Total,83.79,5.14,,,,,,,,,,88.93
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8.5,7,8,8.25,8.25,8.75,8,7.25,8.07
Transition/Linking Footwork,,2,8,7.5,6.75,7.25,7.75,8,8.25,8,7,7.64
Performance/Execution,,2,8.25,7.75,7.25,7.75,7.5,8,8.25,8,7.5,7.82
Choreography/Composition,,2,8.25,7.5,7.75,8,7.75,8.5,8.5,7.75,7.5,7.93
Interpretation,,2,8.5,7.75,7,7.5,7.75,8.25,8.75,7.75,8,7.93
Total,,,,,,,,,,,,78.78
Deduction,,,,,,,,,,,,2
Program total,,88.93 + 78.78 - 2.00 = 165.71,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,7.3
4S,10.5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,7.5
3A,8.5,2,2,2,2,2,2,2,2,2,1,10.5
FCSSp4,3,0.93,2,2,2,2,1,3,1,2,2,3.93
StSq2,2.6,0.64,2,2,1,1,1,3,1,1,1,3.24
3A+3T,13.86,1.29,2,1,1,1,2,1,1,2,1,15.15
2Lz,2.31,-0.77,-3,-3,-3,-2,-2,-2,-3,-3,-2,1.54
3Lz,6.6,0.9,1,2,1,2,1,0,1,2,1,7.5
3Lo,5.61,0.8,2,1,2,1,1,2,0,1,0,6.41
FCCoSp2,2.5,0.71,2,1,1,2,1,2,1,2,1,3.21
3Fe,5.83,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,3.73
ChSq,0,0,,,,,,,,,,0
CCoSp1,2,0.1,1,0,0,-1,0,1,-1,2,0,2.1
Total,73.61,-1.5,,,,,,,,,,72.11
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8.25,8.25,8.5,9,8.5,7.75,7.75,7.75,8.18
Transition/Linking Footwork,,2,7.75,8,8,8,8.75,8,7,7.5,8,7.89
Performance/Execution,,2,7.75,7.75,8.25,7.75,8,8,7,7.5,7,7.68
Choreography/Composition,,2,8,8.25,8.25,8.5,8.75,8.75,7.5,8,7.75,8.21
Interpretation,,2,8,7.75,8,8,8,8,7.25,7.75,7.25,7.82
Total,,,,,,,,,,,,79.56
Deduction,,,,,,,,,,,,3
Program total,,72.11 + 79.56 - 3.00 = 148.67,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,Score,
4T,10.3,1.83,2,2,1,3,2,1,2,2,12.13,
4S,10.5,0.83,1,1,1,1,1,0,1,0,11.33,
3A,8.5,1.83,2,1,3,3,2,1,2,1,10.33,
FCSSp4,3,0.83,2,2,2,1,1,2,2,1,3.83,
StSq3,3.3,0.58,2,2,1,1,1,0,1,1,3.88,
3A+2T,10.78,1.67,1,1,2,2,2,1,2,2,12.45,
3Lz+2T,8.03,0.58,1,1,1,1,1,1,0,-1,8.61,
3Lz+1T,7.04,0,0,-1,0,0,0,0,0,0,7.04,
3Lo,5.61,0.7,1,1,0,1,1,1,1,1,6.31,
FCCoSp3,3,0.33,2,0,0,0,1,0,2,1,3.33,
3Fe,5.83,-0.82,-1,0,-1,-1,-1,-2,-1,-2,5.01,
ChSq1,2,0.7,1,2,1,0,1,1,1,1,2.7,
CCoSp4,3.5,0.25,1,0,0,0,1,-1,1,1,3.75,
Total,81.39,9.31,,,,,,,,,90.7,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,Score,
Skating Skills,,2,8.25,8.25,8.25,8.5,8.5,8,8,8,8.21,
Transitions,,2,7.5,8.25,8,8.25,8.25,7.75,7.75,7.5,7.92,
Performance/Execution,,2,7.75,8.5,8.25,8.75,8.5,8,8.5,8.5,8.38,
Choreography,,2,7.75,8.25,8,8.5,8.75,8.25,8.25,8,8.21,
Interpretation,,2,7.75,8,8.25,8.5,9,8,8.5,8,8.21,
Total,,,,,,,,,,,81.86,
Deduction,,,,,,,,,,,0,
Program total,,90.70 + 81.86 - 0.00 = 172.56,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2.43,2,3,2,2,3,3,1,3,2,12.73
3A,8.5,2.14,2,2,2,3,2,3,1,2,2,10.64
3F,5.3,1.2,1,2,2,3,2,2,1,2,1,6.5
FCSSp4,3,1,2,2,2,2,2,2,1,2,2,4
3Lz+2T,7.3,0.5,-1,2,1,1,1,1,1,0,0,7.8
CiSt3,3.3,0.93,2,2,2,2,2,1,2,1,2,4.23
3A+3T,13.86,1.57,1,3,2,2,1,2,1,2,1,15.43
3Lz+2T+2T,9.46,0.1,0,1,0,1,0,0,0,0,0,9.56
3Lo,5.61,0.4,1,1,0,1,1,0,0,1,0,6.01
CCoSp4,3.5,0.43,0,1,-1,1,2,1,1,1,1,3.93
ChSt1,2,1.4,2,2,2,2,2,1,2,2,2,3.4
3S,4.62,0,0,0,1,0,-1,0,0,0,0,4.62
FCCoSp2,2.5,0.64,1,1,1,2,2,0,1,2,1,3.14
Total,79.25,12.74,,,,,,,,,,91.99
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,7.75,8.5,8.5,9,8,9,7.5,8.75,8.25,8.39
Transition/Linking Footwork,,2,7.5,8,8.25,8.75,7.75,8.25,7.25,8.5,7.75,8
Performance/Execution,,2,7.75,9,8.75,9,8.25,8.25,7.5,8.75,8,8.39
Choreography/Composition,,2,7.5,8.5,8.5,9,8.25,8,7.75,8.75,8.25,8.29
Interpretation,,2,7.75,9.5,8.5,9.25,8.25,8.25,7.5,8.75,8.25,8.43
Total,,,,,,,,,,,,83
Deduction,,,,,,,,,,,,1
Program total,,91.99 + 83.00 - 1.00 = 173.99,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,Score,,
4T,10.3,1.6,1,2,1,-1,2,2,2,11.9,,
3A,8.5,2.6,3,3,2,2,3,2,3,11.1,,
3Fe,5.3,-0.42,0,-1,0,-1,1,-1,-1,4.88,,
FCSSp4,3,1,2,2,2,2,2,2,2,4,,
3Lz+2T,7.3,1.26,2,1,1,2,2,2,2,8.56,,
CiSt4,3.9,0.98,2,1,1,2,1,1,2,4.88,,
3A+3T+2T,15.29,1.8,2,2,1,1,2,2,2,17.09,,
3Lz+2T,8.03,0.7,0,1,1,1,2,1,1,8.73,,
3Lo,5.61,0.84,1,1,1,2,2,1,1,6.45,,
CCoSp3,3,0.4,0,1,1,1,1,1,0,3.4,,
ChSt1,2,0.98,2,1,1,2,1,2,1,2.98,,
1S,0.44,-0.02,0,0,0,-1,0,-1,0,0.42,,
FCCoSp4,3.5,0.7,1,2,1,2,1,1,2,4.2,,
Total,76.17,12.42,,,,,,,,88.59,,
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,Score,,
Skating Skills,,2,8.25,8,8,7.75,8.25,7.75,7.75,7.95,,
Transition/Linking Footwork/Movement,,2,8,7.5,7.5,7.5,7.5,7.25,7.5,7.5,,
Performance/Execution,,2,8.25,8,7.75,8,8.5,8.5,8,8.15,,
Choreography/Composition,,2,8.5,7.75,8,7.75,7.75,8.25,7.5,7.9,,
Interpretation,,2,8.25,7.75,8,7.75,8.25,8.5,7.75,8,,
Total,,,,,,,,,,79,,
Deduction,,,,,,,,,,0,,
Program total,,88.59 + 79.00 - 0.00 = 167.59,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,1.14,2,0,1,2,1,2,1,1,0,11.44
3A,8.5,2.14,3,2,2,2,2,3,1,1,3,10.64
3F,5.3,1,2,1,2,1,1,2,1,2,0,6.3
FCSSp4,3,0.64,1,1,1,1,1,2,2,1,2,3.64
3Lz+2T,7.3,0.9,2,1,2,1,1,2,1,0,1,8.2
CiSt4,3.9,0.7,1,1,1,1,1,1,2,1,1,4.6
3A+3T,13.86,0.57,1,0,1,1,0,2,1,0,0,14.43
3Lz+2T+2T,9.46,0.1,0,1,0,0,0,1,0,0,0,9.56
3Lo,5.61,0.1,0,1,0,0,0,0,0,1,0,5.71
CCoSp4,3.5,0.43,0,1,1,0,1,1,1,1,1,3.93
ChSt1,2,0.7,1,2,0,1,1,1,2,1,0,2.7
3S,4.62,-1.7,-3,-2,-2,-3,-3,-2,-3,-2,-2,2.92
FCCoSp2,2.5,0.64,1,2,1,1,1,2,1,2,1,3.14
Total,79.85,7.36,,,,,,,,,,87.21
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8.25,8,8.25,7.75,8.5,8.25,7.5,7.25,8.04
Transition/Linking Footwork,,2,7.75,8.25,7.5,7.5,7.5,8.25,7.75,7.25,7,7.64
Performance/Execution,,2,8,8.5,7.75,8.5,8.5,8.25,8.5,7.5,6.75,8.14
Choreography/Composition,,2,8,8.25,7.75,8,7.75,8.5,8,7.25,6.75,7.86
Interpretation,,2,8,8.5,7.5,8.25,8.25,8.25,8,7.5,7.5,7.96
Total,,,,,,,,,,,,79.28
Deduction,,,,,,,,,,,,0
Program total,,87.21 + 79.28 - 0.00 = 166.49,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,-2.57,-3,-2,-2,-2,-3,-2,-3,-3,-3,7.73
3A,8.5,2,2,2,2,2,2,3,2,1,2,10.5
3F,5.3,0.8,1,1,1,1,1,2,1,1,2,6.1
FCSSp4,3,0.86,2,2,2,1,2,2,1,1,2,3.86
3Lz+2T,7.3,0,0,1,0,0,0,0,0,0,0,7.3
CiSt1,1.8,-0.9,-3,-3,-3,-3,-3,-3,-2,-3,-3,0.9
3A+3T,13.86,1.43,1,2,2,1,1,2,1,1,2,15.29
3Lz,6.6,0.8,1,2,1,1,1,2,1,1,1,7.4
3Lo+2T,7.04,0,0,0,0,0,0,1,0,0,0,7.04
CCoSp4,3.5,0.5,1,1,1,1,1,1,1,1,0,4
ChSt1,2,1.3,2,2,2,2,1,2,1,2,2,3.3
3S,4.62,0.6,1,1,1,0,1,1,1,0,1,5.22
FCCoSp3,3,0.86,2,1,2,2,2,2,2,1,1,3.86
Total,76.82,5.68,,,,,,,,,,82.5
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8.25,8.25,7.75,8,7.75,8.75,8,7.75,8,8
Transition/Linking Footwork,,2,7.75,8,7.5,7.75,7.25,8.5,7.75,7.25,7.75,7.68
Performance/Execution,,2,7.75,8.25,7.75,7.75,7.25,8.25,8,7.5,7.5,7.79
Choreography/Composition,,2,8,8,7.75,8,7.5,8.75,8,7.5,7.75,7.86
Interpretation,,2,7.5,8.25,7.75,8,7.75,8.5,8,7.75,7.5,7.86
Total,,,,,,,,,,,,78.38
Deduction,,,,,,,,,,,,2
Program total,,82.50 + 78.38 - 2.00 = 158.88,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2,2,2,2,2,2,2,3,2,2,12.3
3A,8.5,1.57,2,2,1,2,1,1,2,1,2,10.07
3F,5.3,1,1,2,1,2,1,1,2,1,2,6.3
FCSSp4,3,0.71,1,2,1,2,1,1,2,2,0,3.71
3Lz,6,-0.1,0,0,-1,-1,0,-1,0,1,1,5.9
CiSt3,3.3,0.71,1,1,2,2,1,2,2,1,1,4.01
3A+3T<,12.54,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,9.54
3Lz+SEQ,5.28,-2.1,-3,-3,-3,-3,-3,-3,-3,-3,-3,3.18
3Lo,5.61,0,0,0,0,0,0,0,0,1,0,5.61
CCoSp4,3.5,0.21,0,0,0,1,1,1,0,1,0,3.71
ChSt1,2,0.9,1,1,2,2,1,1,1,2,0,2.9
2S,1.43,0,0,0,0,0,0,0,0,0,0,1.43
FCCoSp4,3.5,0.64,1,1,1,3,2,1,2,1,0,4.14
Total,70.26,2.54,,,,,,,,,,72.8
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,8,7.75,7.75,7.75,7.5,7.5,7.5,7.5,7.5,7.61
Transition/Linking Footwork,,2,7.75,7.25,6.75,7.5,7.5,7.25,7.25,7.25,7,7.29
Performance/Execution,,2,7.75,7.25,7,7.5,7.5,7,7.5,7,6.5,7.25
Choreography/Composition,,2,7.75,7.5,7,7.75,7.75,7.5,7.25,7.5,7,7.46
Interpretation,,2,8.25,7.25,7.75,7.75,7.75,7.25,7.5,7.75,6.75,7.57
Total,,,,,,,,,,,,74.36
Deduction,,,,,,,,,,,,2
Program total,,72.80 + 74.36 - 2.00 = 145.16,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,Score,,,,
4T,10.3,2,2,2,2,2,2,12.3,,,,
3A,8.5,2,2,2,2,2,2,10.5,,,,
3F,5.3,0.7,1,1,1,0,2,6,,,,
FCSSp4,3,0.5,0,1,1,2,1,3.5,,,,
1Lz+2T,1.9,-0.04,0,0,0,0,-1,1.86,,,,
CiSt3,3.3,0.6,1,0,2,2,1,3.9,,,,
3A+3T<,12.54,-0.4,0,1,-1,-1,-1,12.14,,,,
3Lz<,4.62,-0.42,0,0,0,-2,-1,4.2,,,,
3Lo+1T,6.05,-0.14,0,0,-1,0,0,5.91,,,,
CCoSp4,3.5,0.4,0,0,2,1,1,3.9,,,,
ChSt1,2,0.42,1,0,1,1,0,2.42,,,,
3S,4.62,0.42,1,0,1,1,0,5.04,,,,
FCCoSp4,3.5,0.4,0,1,1,1,1,3.9,,,,
Total,69.13,6.44,,,,,,75.57,,,,
Program components,,Factor,J1,J2,J3,J4,J5,Score,,,,
Skating Skills,,2,7.5,7.5,7.75,7.75,7.75,7.65,,,,
Transition/Linking Footwork/Movement,,2,7.25,7,7.75,7.25,7.5,7.35,,,,
Performance/Execution,,2,7.5,7.25,7.5,7.5,7.75,7.5,,,,
Choreography/Composition,,2,7.25,7.5,7.75,7.75,7.75,7.6,,,,
Interpretation,,2,7.25,7.25,8,7.5,7.5,7.5,,,,
Total,,,,,,,,75.2,,,,
Deduction,,,,,,,,0,,,,
Program total,,75.57 + 75.20 - 0.00 = 150.77,,,,,,,,,,
Elements,Base value,GOE,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
4T,10.3,-2.57,-2,-1,-3,-2,-2,-3,-3,-3,-3,7.73
3A,8.5,1.71,2,2,2,3,1,2,1,2,1,10.21
3F,5.3,1.1,2,2,2,2,2,1,1,1,1,6.4
FCSSp4,3,0.57,2,1,1,2,1,1,1,1,0,3.57
3Lz+2T,7.3,-0.6,-1,0,-1,-1,-1,-1,-1,0,-2,6.7
CiSt3,3.3,0.57,1,1,1,1,1,1,2,2,1,3.87
3A+3T,13.86,1.86,2,2,3,2,1,2,2,1,2,15.72
1Lz,0.66,-0.11,0,-1,-3,-2,-1,-2,-1,0,-1,0.55
3Lo,5.61,0.8,2,2,1,0,1,1,1,1,1,6.41
CCoSp4,3.5,0.5,1,1,1,1,0,1,1,1,1,4
ChSt1,2,0.9,1,2,1,1,1,2,2,1,1,2.9
3S+2T,6.05,0.1,1,0,0,0,0,1,0,0,0,6.15
FCCoSp3,3,0.57,2,1,1,1,1,2,1,1,1,3.57
Total,72.38,5.4,,,,,,,,,,77.78
Program components,,Factor,J1,J2,J3,J4,J5,J6,J7,J8,J9,Score
Skating Skills,,2,7,8,6.75,7.25,7.5,7.75,7.5,7.25,6.75,7.29
Transitions,,2,7.25,7.25,7,7.5,7,7.5,7,7.5,6,7.21
Performance/Execution,,2,7.25,8,7.5,6.75,7.5,7.5,7.5,7.5,6.25,7.36
Choreography,,2,7.5,8,7.75,7.25,7.25,7.5,7.75,7,6.5,7.43
Interpretation,,2,7.25,8.5,7.5,7,7.5,7.25,7.5,7.25,6.5,7.32
Total,,,,,,,,,,,,73.22
Deduction,,,,,,,,,,,,0
Program total,,77.78 + 73.22 - 0.00 = 151.00,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,2,2,2,3,2,2,2,2,1,2,12.3
3A,8.5,2,2,2,3,2,2,2,1,1,3,10.5
3Fe,5.3,-0.5,0,0,0,-2,-1,-1,-1,-1,-1,4.8
CSSp4,3,0.71,2,1,2,2,2,1,1,1,1,3.71
1Lz+2T,2,0,0,-2,0,0,0,0,0,0,0,2
SlSt3,3.3,0.5,1,1,1,1,1,2,1,1,0,3.8
3A+3T,13.86,1.86,2,2,2,2,2,2,0,1,2,15.72
3Lz,6.6,-1.2,-2,-2,-1,-2,-2,-1,-2,-1,-2,5.4
3Lo,5.61,-0.4,-1,0,-1,-1,0,1,-1,0,-1,5.21
FCCoSp4,3.5,0.36,1,0,2,1,0,1,0,1,1,3.86
ChSt1,2,1.29,1,1,2,2,1,3,0,1,1,3.29
3S,4.62,0.2,-1,1,0,1,1,1,0,0,-1,4.82
CCoSp2,2.5,0.29,0,0,2,2,0,0,0,1,1,2.79
Total,71.09,7.11,,,,,,,,,,78.2
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,7.25,8,8,7.75,7.5,7.75,7,7.25,7.75,7.61
Transition/Linking Footwork,,2,6.75,7.5,7.5,7.5,6.75,7.25,5.75,7,6.5,7.04
Performance/Execution,,2,7,7.75,7.75,7.75,7.75,8.75,6.5,7,7,7.43
Choreography/Composition,,2,7,7.5,7.75,8,7.25,7.75,6.5,7.25,6.75,7.32
Interpretation,,2,6.75,7.75,7.75,7.75,7.5,8,6.5,7,6.5,7.29
Total,,,,,,,,,,,,73.38
Deduction,,,,,,,,,,,,0
Program total,,78.20 + 73.38 - 0.00 = 151.58,,,,,,,,,,
Elements,Base value,GOE,Judges scores (random order),,,,,,,,,Score
4T,10.3,1.29,1,1,1,2,2,1,2,1,0,11.59
3A,8.5,-0.71,-1,-1,0,-1,0,-2,-1,-1,0,7.79
3Fe,5.3,-0.7,-1,-1,-1,-1,-1,-1,-1,-1,0,4.6
CSSp4,3,0.5,0,1,1,1,2,1,1,1,1,3.5
3Lz+2T,7.4,0.5,0,0,1,0,1,1,1,1,1,7.9
SlSt2,2.3,0.36,1,1,1,0,1,1,0,0,1,2.66
3A+3T,13.86,0.43,1,1,1,0,0,0,1,0,0,14.29
3Lz,6.6,-0.6,-1,-1,-1,-1,-1,-1,-1,0,0,6
1Lo,0.55,-0.09,-1,-1,0,0,-1,-1,-2,-1,-1,0.46
FCCoSp3,3,0.21,0,0,0,1,1,1,1,0,0,3.21
ChSt1,2,0.71,0,1,0,0,1,1,1,1,1,2.71
3S,4.62,0.1,0,0,0,1,0,1,0,0,0,4.72
CCoSp3,3,0.14,1,1,0,0,0,0,1,0,0,3.14
Total,70.43,2.14,,,,,,,,,,72.57
Program components,,Factor,Judges scores (random order),,,,,,,,,Score
Skating Skills,,2,6.25,6.75,7,6,6.5,6.75,7,6.75,6.5,6.64
Transition/Linking Footwork,,2,5.75,6,7,5.5,6.75,6.5,6.5,6.75,6,6.32
Performance/Execution,,2,6,6.75,7.25,6.5,6.25,7.25,6.5,7.25,6.25,6.68
Choreography/Composition,,2,6,6.5,7.25,6.25,7,7,6.75,7,6.5,6.71
Interpretation,,2,6,6.5,7.25,6.5,7.25,6.75,6.5,6.25,6.25,6.57
Total,,,,,,,,,,,,65.84
Deduction,,,,,,,,,,,,0
Program total,,72.57 + 65.84 - 0.00 = 138.41,,,,,,,,,,
